,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
32,"frozenset({'1575', '16498'})","frozenset({'5114', '199', '30276'})",0.24688,0.12234,0.06612,0.26782242384964355,2.1891648181268883,0.0359167008,1.1986982783801727
33,"frozenset({'1575', '30276'})","frozenset({'5114', '199', '16498'})",0.20824,0.13724,0.06612,0.3175182481751825,2.3135984273913035,0.0375411424,1.2641510160427807
34,"frozenset({'199', '16498'})","frozenset({'5114', '1575', '30276'})",0.21062,0.15486,0.06612,0.31393030101604785,2.0271877890743113,0.0335033868,1.231857348096886
35,"frozenset({'199', '30276'})","frozenset({'5114', '1575', '16498'})",0.18006,0.17882,0.06612,0.36721092969010327,2.0535227026624723,0.0339216708,1.2977152080042127
36,"frozenset({'5114', '1535', '30276'})","frozenset({'1575', '199'})",0.18112,0.18178,0.06596,0.364178445229682,2.003402163217527,0.033036006400000005,1.2868704967002431
37,"frozenset({'5114', '1535', '199'})","frozenset({'1575', '30276'})",0.14646,0.20824,0.06596,0.4503618735490919,2.162705885272243,0.0354611696,1.4405114236024847
38,"frozenset({'5114', '1575', '199'})","frozenset({'1535', '30276'})",0.12464,0.26342,0.06596,0.529204107830552,2.008974670983798,0.033127331200000006,1.564542113156101
39,"frozenset({'1535', '1575', '30276'})","frozenset({'5114', '199'})",0.15974,0.2045,0.06596,0.41292099661950676,2.0191735776015003,0.03329317000000001,1.3550135423331202
40,"frozenset({'1535', '199', '30276'})","frozenset({'5114', '1575'})",0.12548,0.25598,0.06596,0.5256614599936245,2.053525509780547,0.033839629600000004,1.5685421639784947
41,"frozenset({'1575', '199', '30276'})","frozenset({'5114', '1535'})",0.10062,0.29984,0.06596,0.6555356787914928,2.1862849479438795,0.03579009920000001,2.0326052856318526
42,"frozenset({'5114', '1535'})","frozenset({'1575', '199', '30276'})",0.29984,0.10062,0.06596,0.21998399146211314,2.1862849479438795,0.03579009920000001,1.1530276175816658
43,"frozenset({'5114', '1575'})","frozenset({'1535', '199', '30276'})",0.25598,0.12548,0.06596,0.2576763809672631,2.053525509780547,0.033839629600000004,1.1780845679402168
44,"frozenset({'5114', '199'})","frozenset({'1535', '1575', '30276'})",0.2045,0.15974,0.06596,0.3225427872860636,2.0191735776015003,0.03329317000000001,1.2403144940089506
45,"frozenset({'1535', '30276'})","frozenset({'5114', '1575', '199'})",0.26342,0.12464,0.06596,0.2503986029914206,2.008974670983798,0.033127331200000006,1.1677673007191332
46,"frozenset({'1575', '30276'})","frozenset({'5114', '1535', '199'})",0.20824,0.14646,0.06596,0.3167499039569727,2.162705885272243,0.0354611696,1.249235096991847
47,"frozenset({'1575', '199'})","frozenset({'5114', '1535', '30276'})",0.18178,0.18112,0.06596,0.36285619980195843,2.0034021632175265,0.033036006400000005,1.2852357658435503
48,"frozenset({'5114', '1535', '1575', '16498'})","frozenset({'199', '30276'})",0.14662,0.18006,0.05642,0.38480425589960443,2.137089058644921,0.0300196028,1.3328115609756097
49,"frozenset({'5114', '1535', '1575', '30276'})","frozenset({'199', '16498'})",0.12446,0.21062,0.05642,0.45331833520809894,2.152304316817486,0.0302062348,1.4439481893004114
50,"frozenset({'5114', '1535', '16498', '30276'})","frozenset({'1575', '199'})",0.14834,0.18178,0.05642,0.3803424565188081,2.0923228986621636,0.0294547548,1.3204390208877281
